Rank,Community,Score,Vitality,Equity,Economy,Eduation,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
54,"Teton County, Idaho",76.5,69.4,70.1,74.1,41.0,80.6,68.4,79.9,66.2,70.9,63.2
55,"Collin County, Texas",76.2,64.1,45.4,82.9,83.8,63.5,51.9,81.1,59.8,74.4,76.3
56,"Gilpin County, Colorado",76.2,82.3,81.1,71.4,63.0,96.2,58.7,81.7,46.3,61.8,29.2
57,"Hamilton County, Nebraska",76.2,75.3,67.2,67.7,60.7,68.2,38.3,80.1,87.1,72.7,67.4
58,"Carroll County, Iowa",76.2,61.7,66.7,65.0,64.6,70.2,52.1,76.7,74.0,77.5,81.4
59,"Rockingham County, New Hampshire",76.1,61.0,70.5,87.1,75.3,62.5,50.5,77.3,56.3,67.2,67.4
60,"Eagle County, Colorado",76.1,54.5,39.5,78.7,50.3,91.3,75.5,95.7,30.3,84.4,85.2
61,"Lincoln County, Wyoming",76.0,68.6,80.4,69.2,61.6,83.9,66.9,76.5,58.2,61.8,50.9
62,"Nantucket County, Massachusetts",75.9,72.2,48.4,79.7,73.7,67.1,68.1,81.9,47.3,64.7,75.1
63,"Humboldt County, Iowa",75.8,56.7,71.5,59.1,70.2,76.4,64.2,74.4,77.5,72.2,66.5
64,"Houston County, Minnesota",75.7,65.4,73.1,61.8,48.0,73.4,57.7,86.7,61.3,73.6,80.2
65,"Forsyth County, Georgia",75.6,79.1,49.3,93.0,79.5,57.1,45.3,74.9,63.0,70.1,61.0
66,"Hanover County, Virginia",75.5,70.8,68.1,82.5,72.5,60.8,41.4,76.2,58.2,69.7,73.6
67,"Phillips County, Colorado",75.5,59.4,86.0,48.0,51.3,74.5,62.1,80.8,54.4,86.0,83.7
68,"Saratoga County, New York",75.5,52.9,68.4,79.8,72.4,65.3,51.1,74.1,59.5,78.2,78.3
69,"Wasatch County, Utah",75.4,66.3,62.2,79.7,56.5,85.7,53.9,81.8,51.3,64.6,75.3
70,"Mercer County, North Dakota",75.3,69.0,70.5,67.3,50.7,60.4,54.7,72.5,94.4,70.5,73.4
71,"Johnson County, Kansas",75.1,56.5,44.0,83.2,74.8,56.1,46.7,88.8,60.9,74.0,91.5
72,"Mono County, California",75.0,45.4,57.2,61.8,59.1,65.6,65.3,86.8,74.1,74.1,97.0
73,"Addison County, Vermont",75.0,61.8,68.2,69.6,66.0,69.2,72.7,82.7,55.1,61.9,65.4
74,"Olmsted County, Minnesota",75.0,59.1,38.2,82.0,70.0,80.6,44.9,93.7,59.3,66.9,82.2
75,"Lyon County, Iowa",75.0,68.8,66.2,67.0,50.2,72.6,55.1,72.7,84.5,74.0,72.3
76,"Sheridan County, Wyoming",75.0,62.0,65.8,65.1,66.0,78.6,53.2,84.3,55.4,64.1,83.9
77,"Gunnison County, Colorado",74.9,60.9,44.8,65.4,61.8,91.3,78.5,81.6,31.3,74.3,95.9
78,"Winnebago County, Iowa",74.9,58.0,70.1,51.1,64.3,79.5,55.4,73.8,69.9,76.7,91.2
79,"Norfolk County, Massachusetts",74.8,54.0,48.5,85.4,82.6,64.0,58.3,84.5,57.5,74.7,61.9
80,"St. Charles County, Missouri",74.7,65.6,73.2,87.9,73.5,55.4,35.9,67.2,62.8,67.1,82.8
81,"Washington County, Rhode Island",74.6,54.8,64.0,76.6,77.3,66.5,60.4,79.9,49.1,69.1,74.1
82,"Larimer County, Colorado",74.6,60.8,53.3,67.4,62.8,80.6,63.1,87.7,55.4,63.0,83.2
83,"Scott County, Minnesota",74.5,68.8,46.2,94.8,65.8,73.5,40.9,77.7,52.1,69.6,81.9
84,"Polk County, Nebraska",74.4,60.0,66.9,57.5,71.1,60.0,65.3,81.9,76.0,71.8,65.6
85,"Warren County, Ohio",74.3,64.3,62.7,86.8,76.9,48.7,33.9,70.2,70.7,68.4,88.5
86,"Wright County, Minnesota",74.3,67.3,69.1,84.5,66.4,70.6,43.8,78.9,58.2,68.3,57.3
87,"Middlesex County, Connecticut",74.2,55.2,52.4,84.0,87.8,68.6,55.3,82.0,48.8,66.8,67.0
88,"Oldham County, Kentucky",74.2,75.1,62.0,78.8,73.0,57.9,45.3,69.0,71.0,68.1,70.6
89,"Mitchell County, Iowa",73.9,64.1,60.6,58.8,55.4,69.6,66.0,82.3,67.5,75.0,76.6
90,"Bristol County, Rhode Island",73.7,50.0,58.9,75.7,81.0,63.5,50.3,80.4,41.5,84.2,85.3
91,"La Plata County, Colorado",73.7,65.0,48.5,71.0,53.6,83.5,69.3,87.6,51.4,67.8,73.3
92,"Traill County, North Dakota",73.6,56.4,59.1,60.3,72.7,75.9,37.8,79.8,86.4,71.6,79.4
93,"Union County, South Dakota",73.6,67.2,53.9,72.5,66.7,55.3,40.5,75.8,92.8,75.8,73.1
94,"Blaine County, Idaho",73.6,65.5,37.4,68.9,57.2,80.6,73.2,84.9,58.6,79.6,69.7
95,"Brown County, Minnesota",73.6,60.9,59.8,63.2,75.3,75.6,35.6,78.7,67.9,86.6,72.7
96,"Dakota County, Minnesota",73.4,57.5,41.7,92.5,67.1,78.4,40.8,76.6,60.6,65.5,90.6
97,"Washington County, Nebraska",73.3,61.7,64.9,79.6,62.4,64.9,41.6,76.9,69.8,76.5,67.4
98,"Kauai County, Hawaii",73.2,47.7,77.3,72.2,42.3,71.3,80.1,88.5,27.8,79.7,73.8
99,"Pope County, Minnesota",73.2,69.4,63.3,68.5,60.4,69.7,59.4,79.0,53.4,75.2,68.0
100,"St. Croix County, Wisconsin",73.2,62.0,70.0,82.6,60.5,63.2,51.1,78.6,55.4,74.6,61.3
101,"Montgomery County, Maryland",73.1,49.1,35.8,83.9,74.4,67.9,66.5,96.6,39.9,78.7,69.0
102,"Kendall County, Texas",73.1,78.7,45.4,78.3,62.2,64.2,64.5,80.7,54.8,69.4,64.3
103,"Oconee County, Georgia",73.0,85.6,48.3,81.6,75.6,52.5,60.2,72.9,52.9,61.2,68.0
104,"Seward County, Nebraska",72.9,58.1,61.6,68.4,65.9,58.2,47.4,80.2,72.1,75.6,80.7
105,"Livingston County, Michigan",72.9,66.0,81.2,79.5,62.9,56.8,50.6,77.3,60.9,65.3,52.9
106,"Sweet Grass County, Montana",72.8,75.9,36.7,63.1,24.7,84.6,81.5,84.5,94.2,68.3,61.7
107,"Medina County, Ohio",72.8,63.9,77.0,76.7,66.8,65.2,42.7,67.7,60.5,75.7,67.0
108,"Cedar County, Iowa",72.8,61.8,70.9,65.1,53.6,54.4,55.6,72.7,78.3,84.8,71.8
109,"Green County, Wisconsin",72.8,58.7,63.4,69.7,52.4,73.8,53.4,79.0,66.3,72.7,79.2
110,"Grand Traverse County, Michigan",72.7,69.0,62.3,65.7,56.8,72.1,54.3,82.0,59.9,70.6,71.7
111,"Stillwater County, Montana",72.6,79.4,69.6,62.2,42.2,72.5,70.4,70.0,89.1,54.2,56.5
112,"Rockwall County, Texas",72.5,75.4,57.7,86.7,72.8,60.2,46.4,66.5,57.6,80.6,54.8
113,"Chittenden County, Vermont",72.5,49.4,52.0,77.6,72.3,68.6,57.5,92.1,46.5,67.3,75.2
114,"Norton County, Kansas",72.4,58.4,67.7,60.5,75.9,68.4,57.3,70.6,60.5,74.1,75.8
115,"Sarpy County, Nebraska",72.3,55.6,53.2,86.7,71.8,59.1,28.5,77.1,60.6,77.4,92.8
116,"Middlesex County, Massachusetts",72.1,47.0,36.9,85.8,80.0,56.4,61.8,85.6,57.9,79.8,68.4
117,"Calumet County, Wisconsin",72.1,63.9,59.4,74.5,68.6,65.8,39.9,82.9,62.1,69.1,71.9
118,"Merrimack County, New Hampshire",72.0,60.6,62.2,75.9,71.9,67.7,66.0,75.1,49.9,64.0,63.9
119,"Plymouth County, Iowa",72.0,59.1,63.9,69.9,61.7,64.3,52.0,71.6,81.5,78.1,62.7
120,"O'Brien County, Iowa",72.0,55.4,63.5,60.7,57.9,71.4,65.5,77.0,69.9,78.0,67.8
121,"Fayette County, Georgia",72.0,76.7,65.4,82.5,76.1,41.0,43.4,81.2,49.4,70.7,58.6
122,"Williamson County, Texas",72.0,64.3,52.6,79.5,71.9,62.3,39.9,79.3,57.4,74.8,76.9
123,"Goshen County, Wyoming",71.9,56.4,71.0,50.9,70.4,75.5,66.2,62.9,74.4,73.7,72.5
124,"Kendall County, Illinois",71.9,70.6,56.5,83.0,73.9,61.5,44.8,75.7,46.3,79.8,61.8
125,"Hampshire County, Massachusetts",71.9,49.4,56.8,71.7,78.7,68.2,45.9,88.8,55.1,66.0,77.1
126,"Jefferson County, Colorado",71.8,58.0,42.9,82.2,56.9,61.0,62.8,85.7,55.5,60.0,93.1
127,"Thayer County, Nebraska",71.7,63.7,56.5,59.1,71.8,60.9,68.0,74.2,72.2,69.6,68.3
128,"Alexandria city, Virginia",71.7,43.5,23.8,92.4,63.4,69.6,71.4,85.6,42.7,94.3,75.1
